synonym,target
mobile-fighter-g-gundam,g-gundam
parapal,para-paru
ie-naki-ko,nobodys-boy-remi
hell-teacher-nube,jigoku-sensei-nube
ginsoukikou-ordian,platinumhugen-ordian
polar-bears-cafe,shirokuma-cafe
kuragehime,princess-jellyfish
satou-kashi-no-dangan,a-lollypop-or-a-bullet
a-lollipop-or-a-bullet,a-lollypop-or-a-bullet
lonely-planet,tsubaki-chou
the-sword-of-justice,togari
shin-angyou-onshi,shin-am-heng-eo-sa
saishuu-kyoushi,ultimate-teacher
kyoufu-no-bio-ningen,ultimate-teacher
psychic-school-wars,nerawareta-gakuen
genshi-shonen-ryu,ryu-the-primitive-boy
genshi-shounen-ryuu,ryu-the-primitive-boy
origin-spirits-of-past,giniro-no-kami-no-agito
rakudai-kishi-no-eiyuutan,rakudai-kishi-no-cavalry
descending-stories,rakugo-shinju
yona-of-the-dawn,akatsuki-no-yona
my-wife-is-beautiful-god,gan-kon
3-gatsu-no-lion,march-comes-in-like-a-lion
recherche-du-futur-perdu,in-search-of-lost-future
waremete,in-search-of-lost-future
enen-no-shouboutai,fire-force
darkstalkers-revenge,night-warriors
choujin-gakuen-gowcaizer,voltage-fighter-gowcaizer
stealth-koukyoukyoku,stealth-symphony
denei-shoujo,video-girl-ai
zenzen-suki-janain-dakara,onisuki
oniichan-no-koto-nanka,onisuki
bounen-no-xamdou,xamd-lost-memories
majutsushi-orphen,orphen
sorcerous-stabber-orphen,orphen
kore-ga-watashi-goshujin,he-is-my-master
kidou-tenshi-angelic,angelic-layer
blue-spring-ride,ao-haru-ride
sakura-tsuushin,sakura-diaries
ninja-robots,ninja-senshi-tobikage
ninja-robot-tobikage,ninja-senshi-tobikage
dokoka-de-nakushita-aitsu,dna2
ai-no-cosmo-zone,space-firebird-2772
cosmos-zone-of-love,space-firebird-2772
hi-no-tori-2772,space-firebird-2772
world-destruction,sands-of-destruction
juuzai,zai-x-10
bakutou-sengen-daigunder,daigunder
london-shikei-tokushu,arago
kaze-no-na-wa-amnesia,a-wind-named-amnesia
knights-of-the-zodiac,saint-seiya
mad-love-chase,harlem-beat-wa-yoake-made
master-school-olympus,phd-phantasy-degree
once-upon-a-time,windaria
jajauma-quartet,wild-cardz
jikuu-tantei-genshi-kun,flint-the-time-detective
aria-the-scarlet-ammo,hidan-no-aria
kinpatsu-no-jeanie,jeanie-with-the-light-brown-hair
the-girl-in-the-wind,jeanie-with-the-light-brown-hair
kaze-no-naka-no-shoujo,jeanie-with-the-light-brown-hair
rakuen-tsuihou,expelled-from-paradise
boku-no-hero-academia,my-hero-academia
alice-in-borderland,imawa-no-kuni-no-alice
boogiepop-wa-warawanai,boogiepop-phantom
kenya-boy,shounen-kenya
gekitou-crush-gear-turbo,crush-gear-turbo
blade-shikake-no-hanayome,yakuza-girl
ryuuki-denshou,dragoon
dino-adventure-jurassic,jura-tripper
kyouryuu-boukenki-jura,jura-tripper
night-galactic-railroad,ginga-tetsudou-no-yoru
sangatsu-no-lion,march-comes-in-like-a-lion
sakigake-cromartie-koukou,cromartie-high-school
kikou-kantai-dairugger-xv,armored-fleet-dairugger
hyaku-juuou-golion,beast-king-golion
zuobi-yishu,cheating-craft
izetta-die-letzte-hexe,shuumatsu-no-izetta
izetta-the-last-witch,shuumatsu-no-izetta
kareshi-kanojo-no-jijou,kare-kano
his-and-her-circumstances,kare-kano
bernard-jou-iwaku,miss-bernard-said
soushin-shoujo-matoi,matoi-the-sacred-slayer
pokos-udon-world,pocos-udon-world
the-three-sacred-stars,regalia
my-wife-is-the-student,okusama-ga-seitokaichou
the-disastrous-life-saiki,saiki-kusuo-no-sainan
disastrous-life-saiki-k,saiki-kusuo-no-sainan
saiki-kusuo-no-psinan,saiki-kusuo-no-sainan
bbk-brnk,bubuki-buranki
hip-whip-girl,keijo
udon-no-kuni,pocos-udon-world
kotonoha-no-niwa,garden-of-words
onegai-twins,please-twins
onegai-sensei,please-teacher
ojisan-to-marshmallow,ojisan-and-marshmallow
school-mermaid,school-ningyo
your-name,kimi-no-na-wa
toriken-yuki,thunderbolt-fantasy
jjba,jojos-bizarre-adventure
sousei-no-onmyouji,twin-star-exorcists
the-outcast,hitori-no-shita
kochira-katsushika-ku,kochikame
amaama-to-inazuma,sweetness-and-lightning
tenkyou-no-alderamin,alderamin-on-the-sky
heart-hybrid,masou-gakuen
mari-waka,time-travel-shoujo
ouran-koukou-host-club,ouran-high-school-host-club
gyakuten-saiban,ace-attorney
toki-wo-kakeru-shoujo,the-girl-who-leapt-through-time
hxh,hunter-x-hunter
mayoiga,the-lost-village
yao-shen-ji,tales-of-demons-and-gods
boku-dake-ga-inai-machi,erased
pandora-crimson-shell,koukaku-no-pandora
fullmetal-alchemist,fullmetal-alchemist-series
keroro-gunso,sgt-frog
perfect-insider,subete-ga-f-ni-naru
yuruyuri,yuru-yuri
boring-world-dirty-jokes,shimoseka
shimoneta-to-iu-gainen-ga,shimoseka
my-ordinary-life,nichijou
future-diary,mirai-nikki
hayate-the-combat-butler,hayate-no-gotoku
letter-bee,tegami-bachi
my-little-monster,tonari-no-kaibutsu-kun
korean-zombie-desk-car,kore-wa-zombie-desu-ka
is-this-a-zombie,kore-wa-zombie-desu-ka
reign-the-conqueror,alexander-senki
we-without-wings,oretachi-ni-tsubasa-wa-nai
braves-of-the-six-flowers,rokka-no-yuusha
game-of-laplace,ranpo-kitan
school-live,gakkou-gurashi
sidonia-no-kishi,knights-of-sidonia
sakasama-no-patema,patema-inverted
mahoutsukai-no-yome,the-ancient-magus-bride
kuusen-madoushi-kouhousei,sky-wizards-academy
uchuu-wo-kakeru-yodaka,sora-wo-kakeru-yodaka
la-rose-de-versailles,the-rose-of-versailles
lady-oscar,the-rose-of-versailles
berubara,the-rose-of-versailles
versailles-no-bara,the-rose-of-versailles
rin-ne,kyoukai-no-rinne
kuroshitsuji,black-butler
wrong-pick-girls-dungeon,danmachi
fafner-in-the-azure,soukyuu-no-fafner
baki-the-grappler,grappler-baki
love-chunibyo-delusions,chuunibyou-demo-koi-ga-shitai
le-eden-de-la-grisaia,grisaia
witch-on-the-holy-night,mahoutsukai-no-yoru
the-story-of-saiunkoku,saiunkoku-monogatari
